PAGP: 0.70%++
PBA: 0.05%+
PBF: 1.88%+
PBR: 0.47%*++
PR: 2.24%*+
PSX: -0.25%
RIG: 17财-3.10%*
RRC: 2.52%+
SHEL: -0.32%
SLB: -1.10%*
SM: 19财0.54%+
SOBO: -0.04%--
SU: 0.13%+
SUN: 0.55%+
TBN: 18.56%+
TDW: -4.47%
TGS: 20财-2.50%
TPL: 19财-0.42%
TRGP: 20财0.40%++
TRP: -1.03%
TS: 19财-1.27%
TTE: -1.44%
UGP: -2.97%-
VAL: 20财-4.42%
VIST: 3.62%
VLO: -0.75%
VNOM: 0.22%+
VRN: 0.75%*+
WDS: -0.94%--
WES: -0.62%
WFRD: -1.50%
WMB: 0.81%*+
XOM: 0.15%*++
YPF: -0.13%-
ACGL: 0.41%+
ACT: -0.71%-
AEG: 20财0.60%*+
AFG: -0.88%--
AFL: 0.24%+
AIG: -0.24%
AIZ: -0.69%--
AJG: 0.32%+
ALL: 1.40%+
ALLY: -0.31%
AMG: -1.10%
AMP: 0.44%++
AON: 0.97%+
APO: -1.10%-
ARCC: 0.51%++
ARES: -0.50%
AXP: -0.94%
AXS: -0.11%
BAC: -1.12%*-
BAM: -0.08%
BAP: -0.64%-
BBAR: 0.40%
BBVA: -1.71%
BCH: -0.23%-
BCS: -1.79%*
BEN: -0.29%
BGC: -0.42%
BK: -0.66%
BLK: 0.87%+
BMA: -1.99%
BMO: -0.35%
BN: -1.29%
BNS: -0.31%-
BNT: -1.19%
BOKF: -0.62%
BPOP: -0.95%
BRK-A: 0.12%+
BRO: 0.75%+
BSAC: -0.86%-
BSBR: -2.28%
BX: 0.07%++
BXSL: 0.32%+
C: -0.82%*
CACC: -0.42%
CADE: -1.31%--
CB: -0.06%
CEF: 0.00%
CFG: 1.26%*++
CFR: 0.17%+
CG: -1.76%
CIB: 19财1.05%++
CINF: -0.13%--
CM: -0.64%
CMA: -0.15%
CME: 1.17%+
CNA: 0.04%+
CNS: -0.05%
COF: 3.46%++
